Author,Title ,Cited in,ID in Kitab database,Other
Abu Sulaiman A.,Al-Amakin al-ma’thura al-mutawattara fi Makka al-mukarrama,McGregor,No,Pending
Abual-'Amayim M.,Athar al-Qahirah al-Islamiyah fial-'Asr al-'Uthmani,Abdulfattah,No,Pending
Al-‘Arif Y.H.,Al-Rihla al-Hajjiyya: qira’at fi al-matn wa’l-madamin,McGregor,No,Pending
Al-Anbalī I.R.,Kitāb Ahkām Al-Khawātīm Wa-Mā Yata Allaq Bihā,Bursi,No,Pending
Al-Asbahani A.A.-S.,Kitab al-azama,Bursi,No,Pending
Al-Azdi I.B.I.,Fadl al-salat 'ala al-nabi\,Bursi,No,Pending
Al-Barjawi A.R.,Fusul fi ‘ilm al-jamal,McGregor,No,Pending
Al-Busiri ,Qasidat al-Burdah,Margolioth,No,Pending
Al-Fir M.F.A.A.,Tatawwur Al-kitabat Wa-n-nuquš Fi L-Higaz Mundu Fagr Al-islam hatta Muntasaf Al-qarn As-sabi' Al-higri,Bursi,No,Pending
Al-Ghabban M.,"Alé, al-Kitabat al-islamiyya al-mubakkira fé Hahbat óisma bi-mintaqat Tabëk: Dirasa ta'léliyya athariyya wa-lughawiyya",Bursi,No,Pending
al-Hamdani A.M.A.-H.B.A.,Al-Juz' al-sadis min al-Iklil,Bursi,No,Pending
"Al-Harbi I.B.I., Al-Jasir H.",Kitāb al-manāsik waʾmākin wa ṭuruq al-ḥaǧ wa maālim al-ǧazīra,Bursi,No,Pending
al-Harithi N.A.,Al-Athar al-Islamiyyafì Makka al-mukarrama,Bursi,No,Pending
al-Majid A.,Layla. “Al-Mahmal ‘abr al-‘usur al-tarikhiyya,McGregor,No,Pending
al-Maraghi A.B.B.A.-H.B.U.,Tahqiq al-nusra bi-talkhis ma'alim dar al-hijra,Bursi,No,Pending
al-Matan J.A.-D.M.B.A.,Al-Ta'rif bi-ma anasat al-hijra min ma'alim dar al-hijra,Bursi,No,Pending
"al-Nābulusī, ʿAbd al-Ghanī ibn Ismāʿīl ",al-Haqiqah wa-al-majaz firihlat bilad al-Sham wa-Misr wa-al-Hijaz,"Abdulfattah, Goldziher",No,Pending
Al-Najjār I.,Al-Durra Al-Thamīna Fī Ta’Rīkh Al-Madīna,Bursi,No,Pending
Al-Qummi I.B.,Kitab al-Nubuwwa,Bursi,No,Pending
Al-Rashid S.,Kitabat Islamiyya Min Makka Al-mukarrama,Bursi,No,Pending
"al-Sarī H.B., al-Sarī A.",Kitāb Al-Zuhd,Bursi,No,Pending
al-Shaybani M.B.-H.,Muwatta' al-imam Malik,Bursi,No,Pending
Al-Tanukhi S.B.S.,Al-Mudawwana al-kubra,Bursi,No,Pending
Al-Tha'Labi A.I.A.I.M.,Kitāb Qisas al-Anbīyā',Bursi,No,Pending
Al-Thaqafi M.B.A.,Juz' Muhammad b. 'Asim al-Thaqaf al-Isbahani',Bursi,No,Pending
al-Warjlani A.Y.Y.B.I.,Kitab al-Tartib fi-l-sahih min hadith al-rasul,Bursi,No,Pending
Al-Wasiti M.I.A.,Fadā'il al-Bayt al-Muqaddas,Bursi,No,Pending
Ali M.,al-Khitat al-Tawfiqiyah al-jadidah li-Misr al-Qahirah wa-muduniha wa-biladiha al-qadimah wa-shahirah,Abdulfattah,No,Pending
Ali Mubarak Pasha,Al-Khitat al-Jadida,Goldziher,No,Pending
Amin M.M.,Al-awqāfi'l-hayāh Al-ijtimā'iyya Fī Misr 648-923/1250-1517,McGregor,No,Pending
"Aruba I.A., Al-'Adawi A.A.-N.S.",Kitab al-Manasik,Bursi,No,Pending
Brinner W.M.,"Arai'is al-Majalis f?i Qisas al-Anbiya', or 'Lives of the Prophets' as recounted by Abu Ishaq Ahmad Ibn Muhammad Ibn Ibrahim al-Tha'labi",Bursi,No,Pending
"Chekhab-Abudaya M., Couvrat Desvergnes A., Roxburgh D.J.",Muqarnas,Bursi,No,Pending
"Durust ibn Abī Manṣūr al-Wāsiṭī,",Al-Uşül al-sitta 'ashar min al-usulal-awwaliyya: Majmu'at min kutub al-riwaya al- awwaliyya,Bursi,No,Pending
Furat al-Kufi F.B.I.B.,Tafsir Furat al-Kufi,Bursi,No,Pending
Hasan Qummi H.B.M.B.,Tarikh-i Qumm,Bursi,No,Pending
Hayes E.,Al-Masaq,Bursi,No,Pending
Ibn Abi Zar' ,Al-Anis al-Mutrib bi-Rawd al-Qirtas,Goldziher,No,Pending
Ibn al-Futi,Talkhis Majma’ al-Adab fi Mu’jam al-Alqab,Margolioth,No,Pending
Ibn Duqmaq,Kitab al-Intisar,Margolioth,No,Pending
Ibn Habib A.A.-M.,Kitāb al-Ta'rīkh,Bursi,No,Pending
Ibn Majah M.Y.,Sunan Ibn Majah,Bursi,No,Pending
Isḥāq ibn Manṣūr al-Marwazī.,Masā’il al-Imām Aḥmad ibn Ḥanbal wa 'Isḥāq bin Rahūyah bi Riwāyat 'Isḥāq bin Mansūr al-Marwazī,Bursi,No,Pending
Munabbih W.B.,Wahb b. Munabbih. ,Bursi,No,Pending
Tabaqat A.A.-A.M.B.A.B.T.,Tabaqat 'ulama'Ifrîqiyya,Bursi,No,Pending
Zayd A.B.I.B.,Kitab Ra'b al-sad': Amalial-Imam Ahmad b. Tsa b. Zayd b. Ali b. al-Husayn b. Ali b. Abi Talib,Bursi,No,Pending
